datetime,src,dst,channel,rssi,pdr
2018-01-11 14:01:13.712,00-17-0d-00-00-38-06-d5,,16,-90,66.17
2018-01-11 14:01:13.712,00-17-0d-00-00-38-06-d5,,17,-87,51.59
2018-01-11 14:01:13.712,00-17-0d-00-00-38-06-d5,,18,-86,59.85
2018-01-11 14:01:13.712,00-17-0d-00-00-38-06-d5,,19,-85,75.38
2018-01-11 14:01:13.712,00-17-0d-00-00-38-06-d5,,20,-89,70.54
2018-01-11 14:01:13.712,00-17-0d-00-00-38-06-d5,,21,-90,73.39
2018-01-11 14:01:13.712,00-17-0d-00-00-38-06-d5,,22,-93,79.26
2018-01-11 14:01:13.712,00-17-0d-00-00-38-06-d5,,23,-89,79.1
2018-01-11 14:01:13.712,00-17-0d-00-00-38-06-d5,,24,-87,63.79
2018-01-11 14:01:13.712,00-17-0d-00-00-38-06-d5,,25,-91,82.93
2018-01-11 14:01:14.343,00-17-0d-00-00-38-03-69,,11,-91,62.32
2018-01-11 14:01:14.343,00-17-0d-00-00-38-03-69,,12,-87,40.14
2018-01-11 14:01:14.343,00-17-0d-00-00-38-03-69,,13,-86,65.47
2018-01-11 14:01:14.343,00-17-0d-00-00-38-03-69,,14,-89,53.79
2018-01-11 14:01:14.343,00-17-0d-00-00-38-03-69,,15,-92,56.06
2018-01-11 14:01:14.343,00-17-0d-00-00-38-03-69,,16,-91,69.33
2018-01-11 14:01:14.343,00-17-0d-00-00-38-03-69,,17,-90,54.73
2018-01-11 14:01:14.343,00-17-0d-00-00-38-03-69,,18,-88,69.66
2018-01-11 14:01:14.343,00-17-0d-00-00-38-03-69,,19,-89,69.17
2018-01-11 14:01:14.343,00-17-0d-00-00-38-03-69,,20,-90,87.58
2018-01-11 14:01:14.343,00-17-0d-00-00-38-03-69,,21,-90,76.88
2018-01-11 14:01:14.343,00-17-0d-00-00-38-03-69,,22,-89,58.55
2018-01-11 14:01:14.343,00-17-0d-00-00-38-03-69,,23,-89,48.03
2018-01-11 14:01:14.343,00-17-0d-00-00-38-03-69,,24,-90,59.23
2018-01-11 14:01:14.343,00-17-0d-00-00-38-03-69,,25,-93,81.43
2018-01-11 14:01:27.930,00-17-0d-00-00-38-05-f1,,11,-84,70.49
2018-01-11 14:01:27.930,00-17-0d-00-00-38-05-f1,,12,-82,79.31
2018-01-11 14:01:27.930,00-17-0d-00-00-38-05-f1,,13,-89,47.15
2018-01-11 14:01:27.930,00-17-0d-00-00-38-05-f1,,14,-87,62.28
2018-01-11 14:01:27.930,00-17-0d-00-00-38-05-f1,,15,-84,65.15
2018-01-11 14:01:27.930,00-17-0d-00-00-38-05-f1,,16,-82,60.5
2018-01-11 14:01:27.930,00-17-0d-00-00-38-05-f1,,17,-86,52.07
2018-01-11 14:01:27.930,00-17-0d-00-00-38-05-f1,,18,-75,50.74
2018-01-11 14:01:27.930,00-17-0d-00-00-38-05-f1,,19,-81,74.62
2018-01-11 14:01:27.930,00-17-0d-00-00-38-05-f1,,20,-84,82.58
2018-01-11 14:01:27.930,00-17-0d-00-00-38-05-f1,,21,-81,80.26
2018-01-11 14:01:27.930,00-17-0d-00-00-38-05-f1,,22,-85,85.07
2018-01-11 14:01:27.930,00-17-0d-00-00-38-05-f1,,23,-83,79.29
2018-01-11 14:01:27.930,00-17-0d-00-00-38-05-f1,,24,-88,76.47
2018-01-11 14:01:27.930,00-17-0d-00-00-38-05-f1,,25,-84,85.61
2018-01-11 14:01:31.540,00-17-0d-00-00-38-06-ad,,11,-89,40.76
2018-01-11 14:01:31.540,00-17-0d-00-00-38-06-ad,,12,-87,52.21
2018-01-11 14:01:31.540,00-17-0d-00-00-38-06-ad,,13,-89,44.44
2018-01-11 14:01:31.540,00-17-0d-00-00-38-06-ad,,14,-87,62.9
2018-01-11 14:01:31.540,00-17-0d-00-00-38-06-ad,,15,-91,61.22
2018-01-11 14:01:31.540,00-17-0d-00-00-38-06-ad,,16,-90,51.92
2018-01-11 14:01:31.540,00-17-0d-00-00-38-06-ad,,17,-86,62.09
2018-01-11 14:01:31.540,00-17-0d-00-00-38-06-ad,,18,-77,66.45
2018-01-11 14:01:31.540,00-17-0d-00-00-38-06-ad,,19,-86,71.03
2018-01-11 14:01:31.540,00-17-0d-00-00-38-06-ad,,20,-89,55.13
2018-01-11 14:01:31.540,00-17-0d-00-00-38-06-ad,,21,-92,57.32
2018-01-11 14:01:31.540,00-17-0d-00-00-38-06-ad,,22,-84,75.57
2018-01-11 14:01:31.540,00-17-0d-00-00-38-06-ad,,23,-90,67.69
2018-01-11 14:01:31.540,00-17-0d-00-00-38-06-ad,,24,-92,79.59
2018-01-11 14:01:31.540,00-17-0d-00-00-38-06-ad,,25,-91,89.44
2018-01-11 14:03:21.538,00-17-0d-00-00-38-03-ca,,11,-93,72.48
2018-01-11 14:03:21.538,00-17-0d-00-00-38-03-ca,,12,-93,68.47
2018-01-11 14:03:21.538,00-17-0d-00-00-38-03-ca,,13,-90,71.9
2018-01-11 14:03:21.538,00-17-0d-00-00-38-03-ca,,14,-93,81.74
2018-01-11 14:03:21.538,00-17-0d-00-00-38-03-ca,,15,-93,78.33
2018-01-11 14:03:21.538,00-17-0d-00-00-38-03-ca,,16,-93,87.07
2018-01-11 14:03:21.538,00-17-0d-00-00-38-03-ca,,17,-87,74.14
2018-01-11 14:03:21.538,00-17-0d-00-00-38-03-ca,,18,-92,81.48
2018-01-11 14:03:21.538,00-17-0d-00-00-38-03-ca,,19,-93,85.22
2018-01-11 14:03:21.538,00-17-0d-00-00-38-03-ca,,20,-93,91.96
2018-01-11 14:03:21.538,00-17-0d-00-00-38-03-ca,,21,-93,80.17
2018-01-11 14:03:21.538,00-17-0d-00-00-38-03-ca,,22,-93,76.36
2018-01-11 14:03:21.538,00-17-0d-00-00-38-03-ca,,23,-91,78.57
2018-01-11 14:03:21.538,00-17-0d-00-00-38-03-ca,,24,-93,80.58
2018-01-11 14:03:21.538,00-17-0d-00-00-38-03-ca,,25,-93,88.39
2018-01-11 14:03:27.387,00-17-0d-00-00-38-00-63,,11,-92,60.17
2018-01-11 14:03:27.387,00-17-0d-00-00-38-00-63,,12,-92,70.45
2018-01-11 14:03:27.387,00-17-0d-00-00-38-00-63,,13,-92,81.45
2018-01-11 14:03:27.387,00-17-0d-00-00-38-00-63,,14,-92,88.8
2018-01-11 14:03:27.387,00-17-0d-00-00-38-00-63,,15,-93,73.77
2018-01-11 14:03:27.387,00-17-0d-00-00-38-00-63,,16,-92,80.37
2018-01-11 14:03:27.387,00-17-0d-00-00-38-00-63,,17,-89,50.37
2018-01-11 14:03:27.387,00-17-0d-00-00-38-00-63,,18,-91,70.97
2018-01-11 14:03:27.387,00-17-0d-00-00-38-00-63,,19,-90,83.58
2018-01-11 14:03:27.387,00-17-0d-00-00-38-00-63,,20,-93,54.92
2018-01-11 14:03:27.387,00-17-0d-00-00-38-00-63,,21,-93,88.79
2018-01-11 14:03:27.387,00-17-0d-00-00-38-00-63,,22,-93,82.95
2018-01-11 14:03:27.387,00-17-0d-00-00-38-00-63,,23,-86,54.4
2018-01-11 14:03:27.387,00-17-0d-00-00-38-00-63,,24,-93,85.59
2018-01-11 14:03:27.387,00-17-0d-00-00-38-00-63,,25,-92,67.14
2018-01-11 14:03:29.950,00-17-0d-00-00-38-03-87,,11,-93,64.04
2018-01-11 14:03:29.950,00-17-0d-00-00-38-03-87,,12,-93,81.3
2018-01-11 14:03:29.950,00-17-0d-00-00-38-03-87,,13,-93,79.09
2018-01-11 14:03:29.950,00-17-0d-00-00-38-03-87,,14,-93,82.61
2018-01-11 14:03:29.950,00-17-0d-00-00-38-03-87,,15,-93,64.49
2018-01-11 14:03:29.950,00-17-0d-00-00-38-03-87,,16,-93,89.43
2018-01-11 14:03:29.950,00-17-0d-00-00-38-03-87,,17,-91,87.83
2018-01-11 14:03:29.950,00-17-0d-00-00-38-03-87,,18,-93,40.37
